iter	Logloss
0	0.6516378934
1	0.5941375755
2	0.5660953954
3	0.5324462867
4	0.4991478481
5	0.4759206189
6	0.4524356596
7	0.4264626528
8	0.4131862017
9	0.393678212
10	0.3777967428
11	0.3643209271
12	0.350063015
13	0.3364975262
14	0.3229736891
15	0.3148124466
16	0.3079211282
17	0.2980585732
18	0.2877025041
19	0.2798577606
20	0.2731634083
21	0.2666275538
22	0.2610426695
23	0.2562939609
24	0.2486860584
25	0.2422883201
26	0.2372517862
27	0.232863944
28	0.2284104304
29	0.2235545367
30	0.2197783912
31	0.2146839563
32	0.2124457641
33	0.2075864167
34	0.2043799203
35	0.2010815011
36	0.197159904
37	0.1946098814
38	0.192391297
39	0.1893388546
40	0.1873693462
41	0.184182988
42	0.1775856117
43	0.1759907478
44	0.1744108361
45	0.1711701551
46	0.1670529377
47	0.1646215948
48	0.1629295478
49	0.1604313352
50	0.158562518
51	0.1556304882
52	0.1541904369
53	0.1522600067
54	0.1507780485
55	0.1492448771
56	0.1478704493
57	0.1446102617
58	0.1416258719
59	0.1400954336
60	0.1382093027
61	0.136844647
62	0.1353217563
63	0.133461733
64	0.1306555973
65	0.1281059913
66	0.1268963676
67	0.1253631445
68	0.1223807247
69	0.1207403624
70	0.1197562703
71	0.1190581513
72	0.1170943649
73	0.1152235231
74	0.1138598807
75	0.1130100517
76	0.1119577899
77	0.1106273252
78	0.1097016441
79	0.1085860164
80	0.1070378422
81	0.1060747195
82	0.1044352872
83	0.1027897874
84	0.101455146
85	0.1007846665
86	0.09894268176
87	0.0970952894
88	0.09525604499
89	0.0936711934
90	0.09225007748
91	0.0917384235
92	0.0910300082
93	0.08961638919
94	0.0880250126
95	0.08686199531
96	0.08602286367
97	0.08520548633
98	0.08466919048
99	0.08377534082
100	0.0826812982
101	0.08162036965
102	0.08087547311
103	0.08026650028
104	0.07972171158
105	0.07931308652
106	0.07875655613
107	0.07798419188
108	0.07711649676
109	0.07633121765
110	0.07581279809
111	0.07518563109
112	0.07479389189
113	0.07392956723
114	0.07276743188
115	0.07120644945
116	0.07046952769
117	0.06966501286
118	0.06892767369
119	0.06837540189
120	0.06757563708
121	0.06694802983
122	0.06649290122
123	0.06537120556
124	0.06500912613
125	0.0642889877
126	0.06337883932
127	0.06233320335
128	0.06206807394
129	0.06130255235
130	0.06067267406
131	0.06021059983
132	0.0598181084
133	0.05932838461
134	0.05899897368
135	0.05867641079
136	0.05815163304
137	0.05761100601
138	0.0572208477
139	0.05693912531
140	0.05602500004
141	0.05542507719
142	0.05518855239
143	0.05418547902
144	0.05396876913
145	0.05327611533
146	0.05273354528
147	0.05097446104
148	0.05061063535
149	0.05015276808
150	0.04994924271
151	0.04971917177
152	0.04935364295
153	0.04866754934
154	0.04846567695
155	0.0481946553
156	0.04759918691
157	0.04687203557
158	0.04635855102
159	0.0457352611
160	0.04547077741
161	0.04527946414
162	0.04471559439
163	0.04431235967
164	0.04381407019
165	0.04348280101
166	0.04311337396
167	0.04288461448
168	0.04270012461
169	0.04229927457
170	0.04209521528
171	0.04156220159
172	0.04105070356
173	0.04075384435
174	0.04054342852
175	0.04026365129
176	0.04009064098
177	0.0395845904
178	0.0393182652
179	0.03853293862
180	0.03842797348
181	0.03816693806
182	0.03788803713
183	0.03769258391
184	0.03733715514
185	0.03710867418
186	0.03694008587
187	0.03670618086
188	0.03628239154
189	0.03612218004
190	0.03594522121
191	0.03552378645
192	0.0353670108
193	0.03497248817
194	0.03484942606
195	0.03461271795
196	0.03428914123
197	0.03406227129
198	0.03370493001
199	0.03355334044
200	0.03332653559
201	0.03317677262
202	0.03302248873
203	0.03289698471
204	0.03279233773
205	0.03239420436
206	0.03227474573
207	0.03187990484
208	0.03157352239
209	0.03142392335
210	0.03125352776
211	0.03096858958
212	0.03085861039
213	0.03065847043
214	0.03031507533
215	0.02998527708
216	0.02975786172
217	0.02933555057
218	0.02885350721
219	0.02845433728
220	0.02834295063
221	0.02820949991
222	0.02801394825
223	0.02778906405
224	0.02755375553
225	0.02742464315
226	0.02730933933
227	0.02720714026
228	0.02713101911
229	0.02686763059
230	0.02673457615
231	0.02663599945
232	0.02651414154
233	0.02642351896
234	0.02629995646
235	0.02610344017
236	0.02595033844
237	0.02576316724
238	0.02534409413
239	0.02524317844
240	0.02509526567
241	0.02497975511
242	0.02470573418
243	0.02449351471
244	0.02437526672
245	0.02428928901
246	0.0241864256
247	0.02402565443
248	0.02356321286
249	0.02316149786
250	0.02292115552
251	0.02273152411
252	0.02264563301
253	0.02256344498
254	0.02235683645
255	0.0220950784
256	0.02201671479
257	0.0217534849
258	0.0215955763
259	0.02155304718
260	0.02150615188
261	0.02131912227
262	0.02126668428
263	0.0211861403
264	0.02097833567
265	0.02072377918
266	0.02068297495
267	0.02063767846
268	0.02050976153
269	0.02041756528
270	0.02031513364
271	0.02017650904
272	0.02009022418
